Name,Material,Grade,Thickness,Section name,Profile type,Length,
plancher1 CE1CE2.1,**********,**********,5mm,**********,**********,**********,
plancher2 CE1CE2.1,**********,**********,5mm,**********,**********,**********,
Deck_953.1,Steel,MyGrade1,15mm,**********,**********,**********,
Deck_LStf_247.1,Steel,MyGrade1,**********,T140,Tee,3340mm,
Deck_LStf_248.1,Steel,MyGrade1,**********,T140,Tee,3340mm,
Deck_LStf_249.1,Steel,MyGrade1,**********,T140,Tee,3340mm,
Deck_LStf_250.1,Steel,MyGrade1,**********,T140,Tee,3340mm,
Deck_LStf_251.1,Steel,MyGrade1,**********,T140,Tee,3340mm,
Deck_LStf_252.1,Steel,MyGrade1,**********,T140,Tee,6230mm,
Deck_LStf_253.1,Steel,MyGrade1,**********,T140,Tee,6230mm,
Deck_LStf_254.1,Steel,MyGrade1,**********,T140,Tee,6230mm,
Deck_LStf_255.1,Steel,MyGrade1,**********,FL80x8,FlatBar,"9096 107mm",
Deck_LStf_256.1,Steel,MyGrade1,**********,FL80x8,FlatBar,9570mm,
Deck_LStf_257.1,Steel,MyGrade1,**********,FL80x8,FlatBar,9570mm,
Deck_LStf_258.1,Steel,MyGrade1,**********,FL80x8,FlatBar,9570mm,
Deck_LStf_259.1,Steel,MyGrade1,**********,FL80x8,FlatBar,9570mm,
Deck_LStf_260.1,Steel,MyGrade1,**********,FL80x8,FlatBar,9570mm,
Deck_LStf_261.1,Steel,MyGrade1,**********,FL80x8,FlatBar,9570mm,
Deck_LStf_262.1,Steel,MyGrade1,**********,FL80x8,FlatBar,9570mm,
Deck_LStf_263.1,Steel,MyGrade1,**********,FL80x8,FlatBar,9570mm,
Deck_LStf_264.1,Steel,MyGrade1,**********,FL80x8,FlatBar,"9096 107mm",
Deck_LStf_265.1,Steel,MyGrade1,**********,FL80x8,FlatBar,6230mm,
Deck_LStf_266.1,Steel,MyGrade1,**********,FL80x8,FlatBar,6230mm,
Deck_LStf_267.1,Steel,MyGrade1,**********,FL80x8,FlatBar,6230mm,
Deck_LStf_268.1,Steel,MyGrade1,**********,FL80x8,FlatBar,6230mm,
Deck_LStf_269.1,Steel,MyGrade1,**********,FL80x8,FlatBar,3340mm,
Deck_LStf_270.1,Steel,MyGrade1,**********,FL80x8,FlatBar,3340mm,
Deck_TStf_591.1,Steel,MyGrade1,**********,T140,Tee,"8120 253mm",
Deck_TStf_592.1,Steel,MyGrade1,**********,T140,Tee,"8239 189mm",
Deck_TStf_593.1,Steel,MyGrade1,**********,T140,Tee,"8345 523mm",
Deck_TStf_594.1,Steel,MyGrade1,**********,T140,Tee,"8407 651mm",
Deck_TStf_595.1,Steel,MyGrade1,**********,T140,Tee,"8461 648mm",
Deck_TStf_603.1,Steel,MyGrade1,**********,FL100x12,FlatBar,"8036 008mm",
Deck_TStf_604.1,Steel,MyGrade1,**********,FL100x12,FlatBar,"8078 517mm",
Deck_TStf_605.1,Steel,MyGrade1,**********,FL100x12,FlatBar,"8161 043mm",
Deck_TStf_606.1,Steel,MyGrade1,**********,FL100x12,FlatBar,"8200 736mm",
Deck_TStf_607.1,Steel,MyGrade1,**********,FL100x12,FlatBar,"8276 237mm",
Deck_TStf_608.1,Steel,MyGrade1,**********,FL100x12,FlatBar,"8311 738mm",
Deck_TStf_609.1,Steel,MyGrade1,**********,FL100x12,FlatBar,"8377 538mm",
Deck_TStf_610.1,Steel,MyGrade1,**********,FL100x12,FlatBar,"8435 741mm",
Deck_TStf_611.1,Steel,MyGrade1,**********,FL100x12,FlatBar,"8485 124mm",
FSuperPl_2436.1,**********,**********,5mm,**********,**********,**********,
FSuperPl_2437.1,**********,**********,5mm,**********,**********,**********,
FSuperPl_2438.1,**********,**********,5mm,**********,**********,**********,
FSuperPl_2439.1,**********,**********,5mm,**********,**********,**********,
FSuperPl_2440.1,**********,**********,5mm,**********,**********,**********,
FSuperPl_2441.1,**********,**********,5mm,**********,**********,**********,
FSuperPl_2442.1,**********,**********,5mm,**********,**********,**********,
FSuperPl_2443.1,**********,**********,5mm,**********,**********,**********,
FSuperPl_2444.1,**********,**********,5mm,**********,**********,**********,
FSuperPl_2445.1,**********,**********,5mm,**********,**********,**********,
LBhd_017.1,**********,**********,5mm,**********,**********,**********,
Stf_FE_073.1,Steel,MyGrade1,**********,FL250x20,FlatBar,230mm,
LBhd_023.1,**********,**********,5mm,**********,**********,**********,
Stf_FE_068.1,Steel,MyGrade1,**********,FL100x12,FlatBar,340mm,
LBhd_024.1,**********,**********,5mm,**********,**********,**********,
Stf_FE_074.1,Steel,MyGrade1,**********,FL250x20,FlatBar,"2358 247mm",
Stf_FE_075.11,Steel,MyGrade1,**********,FL250x20,FlatBar,"503 538mm",
Stf_FE_075.12,Steel,MyGrade1,**********,FL250x20,FlatBar,"1901 017mm",
Stf_FE_076.11,Steel,MyGrade1,**********,FL100x12,FlatBar,180mm,
Stf_FE_076.12,Steel,MyGrade1,**********,FL100x12,FlatBar,500mm,
Stf_FE_076.13,Steel,MyGrade1,**********,FL100x12,FlatBar,"2655 534mm",
Stf_FE_077.1,Steel,MyGrade1,**********,FL100x12,FlatBar,"1525 07mm",
LBhd_026.1,**********,**********,5mm,**********,**********,**********,
Stf_FE_132.11,Steel,MyGrade1,**********,FL100x12,FlatBar,"2645 534mm",
Stf_FE_132.12,Steel,MyGrade1,**********,FL100x12,FlatBar,"2026 472mm",
Stf_FE_148.11,Steel,MyGrade1,**********,FL250x20,FlatBar,"3161 87mm",
Stf_FE_148.12,Steel,MyGrade1,**********,FL250x20,FlatBar,"709 356mm",
LBhd_027.1,**********,**********,5mm,**********,**********,**********,
Stf_FE_138.11,Steel,MyGrade1,**********,FL100x12,FlatBar,"2645 534mm",
Stf_FE_138.12,Steel,MyGrade1,**********,FL100x12,FlatBar,"2026 472mm",
Stf_FE_150.11,Steel,MyGrade1,**********,FL250x20,FlatBar,"3161 87mm",
Stf_FE_150.12,Steel,MyGrade1,**********,FL250x20,FlatBar,"709 356mm",
LBhd_028.1,**********,**********,5mm,**********,**********,**********,
Stf_FE_140.11,Steel,MyGrade1,**********,FL100x12,FlatBar,"2645 534mm",
Stf_FE_140.12,Steel,MyGrade1,**********,FL100x12,FlatBar,"2026 472mm",
Stf_FE_144.11,Steel,MyGrade1,**********,FL250x20,FlatBar,"3161 87mm",
Stf_FE_144.12,Steel,MyGrade1,**********,FL250x20,FlatBar,"709 356mm",
LBhd_029.1,**********,**********,5mm,**********,**********,**********,
Stf_FE_136.11,Steel,MyGrade1,**********,FL100x12,FlatBar,"2645 534mm",
Stf_FE_136.12,Steel,MyGrade1,**********,FL100x12,FlatBar,"2026 472mm",
Stf_FE_142.11,Steel,MyGrade1,**********,FL250x20,FlatBar,"3161 87mm",
Stf_FE_142.12,Steel,MyGrade1,**********,FL250x20,FlatBar,"709 356mm",
LBhd_031.1,**********,**********,5mm,**********,**********,**********,
Stf_FE_122.1,Steel,MyGrade1,**********,FL100x12,FlatBar,4795mm,
LBhd_032.1,**********,**********,5mm,**********,**********,**********,
Stf_FE_121.1,Steel,MyGrade1,**********,FL100x12,FlatBar,4795mm,
LBhd_034.1,**********,**********,5mm,**********,**********,**********,
Stf_FE_125.1,Steel,MyGrade1,**********,FL100x12,FlatBar,340mm,
LBhd_035.1,**********,**********,5mm,**********,**********,**********,
Stf_FE_135.1,Steel,MyGrade1,**********,FL100x12,FlatBar,340mm,
Shell_066.1,Steel,MyGrade1,15mm,**********,**********,**********,
Shell_066.2,Steel,MyGrade1,15mm,**********,**********,**********,
Shell_066.3,Steel,MyGrade1,15mm,**********,**********,**********,
Shell_066.4,Steel,MyGrade1,15mm,**********,**********,**********,
Shell_066.5,Steel,MyGrade1,15mm,**********,**********,**********,
Shell_LStf_069.1,Steel,MyGrade1,**********,T100,Tee,"429 74mm",
Shell_LStf_070.1,Steel,MyGrade1,**********,T100,Tee,"5544 102mm",
Shell_LStf_071.1,Steel,MyGrade1,**********,T100,Tee,"9144 828mm",
Shell_LStf_073.1,Steel,MyGrade1,**********,T100,Tee,"429 74mm",
Shell_LStf_077.1,Steel,MyGrade1,**********,T100,Tee,"430 23mm",
Shell_LStf_078.1,Steel,MyGrade1,**********,T100,Tee,"3601 512mm",
Shell_LStf_079.1,Steel,MyGrade1,**********,T100,Tee,"3603 939mm",
Shell_LStf_080.1,Steel,MyGrade1,**********,T100,Tee,"5088 015mm",
Shell_LStf_083.1,Steel,MyGrade1,**********,T100,Tee,"5544 102mm",
Shell_LStf_084.1,Steel,MyGrade1,**********,T100,Tee,"9144 828mm",
Shell_LStf_089.1,Steel,MyGrade1,**********,T100,Tee,"430 23mm",
Shell_LStf_090.1,Steel,MyGrade1,**********,T100,Tee,"3601 512mm",
Shell_LStf_091.1,Steel,MyGrade1,**********,T100,Tee,"3603 939mm",
Shell_LStf_104.1,Steel,MyGrade1,**********,FL60x8,FlatBar,"9573 712mm",
Shell_LStf_105.1,Steel,MyGrade1,**********,FL60x8,FlatBar,"9573 728mm",
Shell_LStf_106.1,Steel,MyGrade1,**********,FL60x8,FlatBar,"9573 705mm",
Shell_LStf_107.1,Steel,MyGrade1,**********,FL60x8,FlatBar,"9573 845mm",
